12/09/2024	C	PETR4	29	36,95
06/09/2024	C	BBAS3	18	28,9
30/08/2024	C	BBAS3	100	28,07
26/08/2024	C	BBAS3	18	28,39
13/08/2024	C	RZTR11	5	94,16
12/08/2024	C	PINE4	100	4,58
12/08/2024	V	PINE4	100	4,58
12/08/2024	C	PINE4	10	4,58
12/08/2024	V	PINE4	10	4,58
08/08/2024	C	BBAS3	100	25,98
08/08/2024	C	BBAS3	7	26,07
08/08/2024	V	XPML11	24	112,73
06/08/2024	C	BBAS3	100	26,38
06/08/2024	C	BBFO11	26	70,92
06/08/2024	V	HGBS11	38	214,07
06/08/2024	V	HGBS11	2	214,08
06/08/2024	C	XPML11	5	112,31
06/08/2024	C	XPML11	9	112,36
06/08/2024	C	XPML11	8	112,35
06/08/2024	C	XPML11	3	112,3
06/08/2024	C	XPML11	2	112,34
06/08/2024	C	XPML11	9	112,32
02/08/2024	C	BBAS3	3	26,33
01/08/2024	C	BBAS3	56	26,58
30/07/2024	C	BBAS3	100	26,89
15/07/2024	C	FATN11	20	92,1
15/07/2024	V	RBRD11	50	37,71
15/07/2024	C	VALE3	9	62,53
03/07/2024	C	BBSE3	46	32,99
02/07/2024	C	BBSE3	50	32,93
26/06/2024	C	BBAS3	18	26,53
19/06/2024	C	BBSE3	37	32,59
14/06/2024	C	BBSE3	17	32,54
05/06/2024	C	BBAS3	73	27,28
03/06/2024	C	BBAS3	30	27,21
03/06/2024	C	BBSE3	100	31,98
20/05/2024	C	BBSE3	70	33,63
20/05/2024	C	VALE3	17	66,1
17/05/2024	C	BBAS3	100	27,74
17/05/2024	C	BBAS3	100	27,77
17/05/2024	C	BBSE3	100	34,26
17/05/2024	V	CPFE3	300	33,96
17/05/2024	V	CPFE3	58	33,95
16/05/2024	C	BBAS3	14	27,7
15/05/2024	V	BTLG11	45	102,21
15/05/2024	V	BTLG11	14	102,27
15/05/2024	C	GARE11	661	9,08
13/05/2024	C	BBSE3	13	33,58
13/05/2024	C	CSMG3	21	19,72
13/05/2024	C	HSML11	1	97,67
13/05/2024	V	RBED11	29	141,2
13/05/2024	V	RBED11	4	141,22
13/05/2024	V	RBED11	4	141,2
13/05/2024	V	RBED11	2	141,75
13/05/2024	V	RBED11	10	141,76
13/05/2024	C	RZTR11	3	97,76
13/05/2024	C	RZTR11	67	97,76
10/05/2024	C	BBAS3	200	27,62
10/05/2024	C	BBAS3	33	27,6
10/05/2024	V	PETR4	100	41,91
10/05/2024	V	PETR4	40	41,93
09/05/2024	C	BBAS3	17	27,29
08/05/2024	C	BBSE3	30	32,78
08/05/2024	C	CSMG3	29	19,58
07/05/2024	C	CSMG3	29	19,49
06/05/2024	C	BBAS3	30	28,3
06/05/2024	C	BBFO11	55	73,69
06/05/2024	C	CSMG3	7	19,95
06/05/2024	V	RBVA11	78	108,75
06/05/2024	V	RBVA11	2	108,73
06/05/2024	C	TRXF11	37	109,82
03/05/2024	C	CSMG3	41	19,48
03/05/2024	C	TRXF11	1	109,74
02/05/2024	C	BBAS3	40	27,46
02/05/2024	C	CSMG3	52	19,53
26/04/2024	C	BBAS3	2	27,55
17/04/2024	C	CSMG3	8	21,12
15/04/2024	C	CSMG3	7	21,33
11/04/2024	C	VALE3	5	61,95
10/04/2024	C	CPFE3	9	35,71
10/04/2024	C	TRXF11	10	111,45
10/04/2024	C	VALE3	10	61,59
08/04/2024	V	AJFI11	103	9,65
08/04/2024	C	BBFO11	13	75,18
08/04/2024	C	BBFO11	14	75,34
08/04/2024	V	HGRU11	17	135,3
08/04/2024	V	HGRU11	2	135,31
08/04/2024	C	TRXF11	3	111,67
08/04/2024	C	TRXF11	10	111,6
05/04/2024	C	BBAS3	17	56,86
05/04/2024	C	CPFE3	30	34,86
05/04/2024	C	RBRD11	21	40,55
05/04/2024	C	RBRD11	4	40,54
03/04/2024	C	HSML11	19	97,6
